Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-12-27,,87.14,84.68,85.79,,,,,,
2018-12-28,,87.53,86.0,86.93,,,,,,
2019-01-02,,87.4,85.69,87.01,,,,,,
2019-01-03,,85.76,83.95,84.31,,,,,,
2019-01-04,,86.78,84.04,86.44,,,,,,
2019-01-07,,87.2,86.04,86.62,,,,,,
2019-01-08,,88.81,86.66,87.97,,,,,,
2019-01-09,,89.85,88.02,89.18,,,,,,
2019-01-10,,89.7,88.33,89.44,,,,,,
2019-01-11,,89.41,88.22,89.0,,,,,,
2019-01-14,,88.28,87.58,88.07,,,,,,
2019-01-15,,89.47,87.89,89.3,,,,,,
2019-01-17,,90.68,88.97,90.48,,,,,,
2019-01-18,,93.33,90.91,93.1,,,,,,
2019-01-21,,93.43,91.97,91.97,,,,,,
2019-01-22,,92.29,90.75,91.36,,,,,,
2019-01-23,,92.3,90.53,91.6,,,,,,
2019-01-24,,93.15,91.48,92.49,,,,,,
2019-01-25,,93.92,92.66,92.66,,,,,,
2019-01-28,,92.98,92.09,92.36,,,,,,
2019-01-29,,91.39,89.56,89.81,,,,,,
2019-01-30,,89.85,88.41,88.83,,,,,,
2019-01-31,,90.25,89.0,90.25,,,,,,
2019-02-01,,91.08,89.96,90.79,,,,,,
2019-02-04,,90.97,89.92,90.97,,,,,,
2019-02-05,,92.98,90.59,92.9,,,,,,
2019-02-06,,93.42,92.7,92.91,,,,,,
2019-02-07,,93.1,90.96,90.96,,,,,,
2019-02-08,,92.34,90.55,91.66,,,,,,
2019-02-11,,92.97,91.5,92.47,,,,,,
2019-02-12,,93.37,92.28,92.4,,,,,,
2019-02-13,,94.09,92.39,93.36,,,,,,
2019-02-14,,94.56,93.4,93.56,,1830496.0,171773477.0,,,
2019-02-15,,94.99,92.68,94.3,,2376135.0,223650562.0,,,
2019-02-18,,94.75,94.06,94.21,,1102954.0,104010036.0,,,
2019-02-19,,95.03,93.63,94.02,,1457972.0,137231933.0,,,
2019-02-20,,94.63,93.92,94.45,,1407318.0,132806703.0,,,
2019-02-21,,94.88,94.2,94.77,,1638640.0,155141003.0,,,
2019-02-22,,95.72,94.81,95.41,,1779721.0,169804420.0,,,
2019-02-25,,95.9,94.69,94.98,,1484217.0,141034806.0,,,
2019-02-26,,94.65,93.51,94.52,,1892686.0,178210629.0,,,
2019-02-27,,94.43,93.32,93.81,,1573766.0,147577834.0,,,
2019-02-28,,94.26,92.6,94.2,,2136184.0,200831673.0,,,
2019-03-01,,95.01,94.31,94.89,,1749562.0,165854581.0,,,
2019-03-04,,95.9,94.65,94.68,,1175316.0,111726532.0,,,
2019-03-05,,95.44,94.38,95.37,,1384275.0,131665493.0,,,
2019-03-06,,95.95,94.96,95.2,,1288079.0,122812499.0,,,
2019-03-07,,95.98,94.59,95.32,,2153180.0,205195252.0,,,
2019-03-08,,95.69,94.28,95.6,,1885166.0,179604809.0,,,
2019-03-11,,95.96,94.74,95.84,,1538735.0,146988675.0,,,
2019-03-12,,96.0,95.04,95.6,,1650259.0,157709560.0,,,
2019-03-13,,96.66,95.57,96.4,,2514742.0,242094727.0,,,
2019-03-14,,97.16,95.98,97.0,,2086930.0,201767032.0,,,
